Aerodrome,St ID,Latitude,Longitude,MLW,MTOW,Runway1_Dir,Runway1_Len,Runway1_Wid,Runway2_Dir,Runway2_Len,Runway2_Wid,Runway3_Dir,Runway3_Len,Runway3_Wid
Albemarle,ALB,-52.205,-60.531389,2830,2860,30/12,580,24.5,22/04,340,20,,,
Beaver Island,BVI,-51.838889,-61.23,2550,2580,31/13,285,15,27/09,325,17,,,
Bleaker Island,BKI,-52.179167,-58.086944,2830,2860,33/15,428,31,21/03,292,29,,,
Carcass Island,CCI,-51.25,-60.583333,2900,2930,30/12,600,21,19/01,540,20,,,
Chartres,CHR,-51.433333,-60.04,2900,2930,28/10,525,23,30/12,275,20,25/07,325,20
Fox Bay East,FBE,-51.583333,-60.066667,2830,2860,30/12,475,20,19/01,225,15,,,
Fox Bay (CLAY),FXB,-51.933889,-60.058056,2994,2994,36/18,680,40,26/08,400,40,,,
George Island,GEI,-52.349444,-59.754167,2760,2790,10/28,368,28,12/30,300,25,,,
Goose Green,PGR,-51.816667,-58.966667,2760,2790,31/13,500,,,,,,,
Hill Cove,HLC,-51.516667,-60.133333,2760,2790,19/01,575,20,27/09,350,20,,,
Lively Island,LYI,-51.995556,-58.452778,2760,2790,28/10,600,30,20/02,290,30,,,
Mount Pleasant Airport,MPA,-51.825278,-58.470833,2994,2994,28/10,2580,45,23/05,1525,23,,,
New Island,NWI,-51.741667,-61.266667,2550,2580,33/15,368,28,,,,,,
North Arm,NHA,-52.120833,-58.366111,2900,2930,18/36,700,22,21/03,396,22,,,
Pebble Island,PBI,-51.31,-59.605,2900,2930,31/13,579,19,27/09,264,19,22/04,224,19
Port Edgar,PHD,-52.091667,-60.311667,2760,2790,19/01,510,30,,,,,,
Port Howard,PHP,-51.616667,-59.516667,2900,2930,19/01,500,20,,,,,,
Port San Carlos,PSC,-51.5,-59,2860,2830,29/11,600,20,,,,,,
Port Stephens,PST,-52.083333,-60.833333,2760,2790,31/13,568,27,34/16,348,20,,,
Roy Cove,RYC,-51.533333,-60.35,2830,2860,28/10,600,30,,,,,,
Saunders Island,SDI,-51.378611,-60.084167,2900,2930,29/11,548,30,33/15,300,41,,,
Sea Lion Island,SLI,-52.433333,-59.133333,2830,2860,30/12,550,25,21/03,350,60,,,
Shallow Harbour,SHB,-51.754722,-60.53,2760,2790,26/08,460,25,23/05,328,25,33/15,208,16
Speedwell Island,SPI,-52.228333,-59.741667,2760,2790,21/03,500,20,29/11,256,20,,,
Spring Point,SPP,-51.823611,-60.444444,2830,2860,26/08,545,22,21/03,505,28,,,
Stanley Airport,PSY,-51.415,-57.766667,2994,2994,27/09,970,45,36/18,337,15,,,
Weddell Island,WDI,-51.933333,-60.9,2900,2930,33/15,425,20,26/08,325,20,,,
West Point Island,WPI,-51.345833,-60.680556,2550,2580,19/01,278,34,,,,,
Douglas Station,DGS,,,2760,2790,,,,,,,,,
Darwin,DWN,,,2900,2930,,,,,,,,,